sbu name, number of mofs built from it
connector_1515, 6
connector_1516, 1
connector_1517, 1
connector_1518, 1
connector_1519, 1
connector_1520, 3
connector_1521, 1
connector_1522, 1
connector_1523, 3
connector_1524, 1
connector_1525, 1
connector_1526, 1
connector_1527, 1
connector_1528, 2
connector_1529, 1
connector_1530, 6
connector_1531, 1
connector_1532, 1
connector_1533, 24
connector_1534, 3
connector_1535, 1
connector_1536, 1
connector_1537, 1
connector_1538, 3
connector_1539, 3
connector_1540, 2
connector_1541, 2
connector_1542, 1
connector_1543, 5
connector_1544, 1
connector_1545, 1
connector_1546, 1
connector_1547, 1
connector_1548, 2
connector_1549, 1
connector_1550, 2
connector_1551, 1
connector_1552, 1
connector_1553, 2
connector_1554, 1
connector_1555, 1
connector_1556, 1
connector_1557, 6
connector_1558, 1
connector_1559, 2
connector_1560, 1
connector_1561, 2
connector_1562, 2
connector_1563, 4
connector_1564, 1
connector_1565, 4
connector_1566, 2
connector_1567, 2
connector_1568, 1
connector_1569, 2
connector_1570, 1
connector_1571, 2
connector_1572, 1
connector_1573, 1
connector_1574, 2
connector_1575, 1
connector_1576, 2
connector_1577, 2
connector_1578, 15
connector_1579, 1
connector_1580, 4
connector_1581, 1
connector_1582, 2
connector_1583, 1
connector_1584, 2
connector_1585, 1
connector_1586, 2
connector_1587, 1
connector_1588, 1
connector_1589, 1
connector_1590, 1
connector_1591, 1
connector_1592, 1
connector_1593, 3
connector_1594, 1
connector_1595, 1
connector_1596, 1
connector_1597, 1
connector_1598, 1
connector_1599, 1
connector_1600, 5
connector_1601, 1
connector_1602, 2
connector_1603, 3
connector_1604, 1
connector_1605, 1
connector_1606, 1
connector_1607, 1
connector_1608, 1
connector_1609, 14
connector_1610, 5
connector_1611, 1
connector_1612, 1
connector_1613, 4
connector_1614, 2
connector_1615, 1
connector_1616, 1
connector_1617, 1
connector_1618, 1
connector_1619, 1
connector_1620, 1
connector_1621, 2
connector_1622, 2
connector_1623, 4
connector_1624, 2
connector_1625, 2
connector_1626, 1
connector_1627, 4
connector_1628, 1
connector_1629, 1
connector_1630, 1
connector_1631, 1
connector_1632, 2
connector_1633, 2
connector_1634, 1
connector_1635, 1
connector_1636, 5
connector_1637, 2
connector_1638, 1
connector_1639, 1
connector_1640, 1
connector_1641, 1
connector_1642, 1
connector_1643, 1
connector_1644, 1
connector_1645, 1
connector_1646, 1
connector_1647, 3
connector_1648, 1
connector_1649, 1
connector_1650, 1
connector_1651, 14
connector_1652, 1
connector_1653, 3
connector_1654, 2
